Country_ISO3,N.Studies,N.Observations
IND,61,2332
CHN,44,1096
ETH,16,771
PAK,11,439
KEN,10,319
BGD,8,399
GHA,6,248
NGA,4,54
BEN,3,58
BRA,3,237
ECU,3,76
ZWE,3,322
EGY,2,98
KAZ,2,48
KHM,2,7
MEX,2,220
MOZ,2,8
MWI,2,19
THA,2,116
UGA,2,24
ZMB,2,7
,1,12
DZA,1,4
GTM,1,7
HTI,1,6
MAR,1,6
NER,1,10
NPL,1,60
RWA,1,8
SRB,1,52
SYR,1,1
TZA,1,13
ZAF,1,2
